Temperature[°C]	ThermalConductivity[W/mK]
0.0	53.3340
10.0	53.3340
20.0	53.3340
30.0	53.0010
40.0	52.6680
50.0	52.3350
60.0	52.0020
70.0	51.6690
80.0	51.3360
90.0	51.0030
100.0	50.6700
110.0	50.3370
120.0	50.0040
130.0	49.6710
140.0	49.3380
150.0	49.0050
160.0	48.6720
170.0	48.3390
180.0	48.0060
190.0	47.6730
200.0	47.3400
210.0	47.0070
220.0	46.6740
230.0	46.3410
240.0	46.0080
250.0	45.6750
260.0	45.3420
270.0	45.0090
280.0	44.6760
290.0	44.3430
300.0	44.0100
310.0	43.6770
320.0	43.3440
330.0	43.0110
340.0	42.6780
350.0	42.3450
360.0	42.0120
370.0	41.6790
380.0	41.3460
390.0	41.0130
400.0	40.6800
410.0	40.3470
420.0	40.0140
430.0	39.6810
440.0	39.3480
450.0	39.0150
460.0	38.6820
470.0	38.3490
480.0	38.0160
490.0	37.6830
500.0	37.3500
510.0	37.0170
520.0	36.6840
530.0	36.3510
540.0	36.0180
550.0	35.6850
560.0	35.3520
570.0	35.0190
580.0	34.6860
590.0	34.3530
600.0	34.0200
610.0	33.6870
620.0	33.3540
630.0	33.0210
640.0	32.6880
650.0	32.3550
660.0	32.0220
670.0	31.6890
680.0	31.3560
690.0	31.0230
700.0	30.6900
710.0	30.3570
720.0	30.0240
730.0	29.6910
740.0	29.3580
750.0	29.0250
760.0	28.6920
770.0	28.3590
780.0	28.0260
790.0	27.6930
800.0	27.3000
810.0	27.3000
820.0	27.3000
830.0	27.3000
840.0	27.3000
850.0	27.3000
860.0	27.3000
870.0	27.3000
880.0	27.3000
890.0	27.3000
900.0	27.3000
910.0	27.3000
920.0	27.3000
930.0	27.3000
940.0	27.3000
950.0	27.3000
960.0	27.3000
970.0	27.3000
980.0	27.3000
990.0	27.3000
1000.0	27.3000
1010.0	27.3000
1020.0	27.3000
1030.0	27.3000
1040.0	27.3000
1050.0	27.3000
1060.0	27.3000
1070.0	27.3000
1080.0	27.3000
1090.0	27.3000
1100.0	27.3000
1110.0	27.3000
1120.0	27.3000
1130.0	27.3000
1140.0	27.3000
1150.0	27.3000
1160.0	27.3000
1170.0	27.3000
1180.0	27.3000
1190.0	27.3000
1200.0	27.3000
